method,seed,best_value,evaluations,seconds,best_vector
GA_sigma_8pct,61002,0.22333648467412726,12000,0.05321033392101526,-1.1040154584 -1.05992921659 -1.04278011176 -0.62358439721 -0.545215896596 -0.538831570385 0.370896580282
GA_sigma_8pct,61003,0.1324031841207175,12000,0.053255332983098924,-1.49454815369 -1.08099300122 -0.636388015168 -1.01302431445 -0.857087486251 -0.384022406765 -0.529492289839
GA_sigma_8pct,61004,0.2898583136042679,12000,0.0530755000654608,-0.815906202417 -1.02337425373 -1.13914094708 0.128117290129 -0.276698316459 -1.01510554495 0.00712264076416
GA_sigma_8pct,61005,0.3144181404546931,12000,0.05298720905557275,-1.08364757096 -0.568108488738 -0.825556388157 0.415237196634 -0.754449920342 0.127137669026 -0.442934949713
GA_sigma_8pct,61006,0.18568889729436322,12000,0.05379341694060713,-1.12988823166 0.206104558536 -0.367199668243 -0.841162370718 -0.933218171703 -1.13889455561 -0.853529474961
GA_sigma_8pct,61007,0.30715234346270537,12000,0.053168458049185574,-0.222246627876 -1.49260766737 -0.739511964181 -0.374698956099 0.0783550017307 -0.192505936168 -0.931714200792
GA_sigma_8pct,61008,0.2809767479118076,12000,0.05284779192879796,-0.61096091869 0.431762431941 -0.113099762809 -0.26800889477 -1.03700305063 -1.10130142238 -0.626927630775
GA_sigma_8pct,61009,0.3396227734060069,12000,0.0526920419652015,0.268809423029 -0.226731130616 -0.165815351499 0.0341600675917 -0.973411138149 -1.17226983551 -0.604246902958
GA_sigma_8pct,61010,0.240384742156723,12000,0.05291337496601045,-0.332173890683 -1.51659234778 -0.402668821359 -0.0948352884389 -0.312558853815 -0.622912471464 -1.18125495042
GA_sigma_8pct,61011,0.35997825040263076,12000,0.05348074994981289,-0.0448907607698 -0.586515459846 -0.401635648674 0.11687031926 -0.329898475442 0.237206993304 -1.25688995924
GA_sigma_8pct,61012,0.3767044760022733,12000,0.053609500057064,-0.435879455902 -1.51887831694 -0.125268380397 -0.955403023718 -0.0485945645727 -0.238393454432 -0.207773787778
GA_sigma_8pct,61013,0.28159617653368463,12000,0.05312379100359976,-0.848181181216 -0.547555578428 0.117309816908 -0.0650455017161 -0.304297595274 -1.01281310336 -1.36923662108
GA_sigma_8pct,61014,0.2632853587014601,12000,0.05323041696101427,-1.14023733109 -0.396979296334 -0.342718703023 -0.514567848087 0.330454428379 -0.456965669222 -1.28285740259
